ID_ejercicio,título,tipo,número,resumen_enunciado,archivo_origen,ruta_origen,página_or_slide,archivo_exportado,hash_exportado,fecha_extracción
Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej1,Ejercicio 1,ejercicio,1,"Lorem ipsum dolor sit amet, consectetuer adipiscin...",Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,exports/downloads/Todos los ramos/Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,1,Ej_1_Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej1.md,731e64a81f633a316c728a7c433d943ec50fa3857d8226370b507794370b69d5,2025-12-08T20:18:01.718Z
Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej2,Ejercicio 2,ejercicio,2,...,Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,exports/downloads/Todos los ramos/Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,1,Ej_2_Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej2.md,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2025-12-08T20:18:01.719Z
Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej3,Ejercicio 3,ejercicio,3,00-00-0000   AAA0000 – Ayudant´ ıa 00   P´ agina 1...,Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,exports/downloads/Todos los ramos/Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,1,Ej_3_Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej3.md,a2f0fcb835d55de9a60fd6a6b5928fb36ea4e5d44101abe02872d5b55e5ddfad,2025-12-08T20:18:01.719Z
Calendario de Actividades Academicas y Estudiantiles_0y12SOrH3u11QcFss8cJ_Full,Documento Completo,material,1,--- Page 1 --- Fecha: 11 de noviembre de 2025  Fec...,Calendario de Actividades Academicas y Estudiantiles_0y12SOrH3u11QcFss8cJ.pdf,exports/downloads/Todos los ramos/Calendario de Actividades Academicas y Estudiantiles_0y12SOrH3u11QcFss8cJ.pdf,1,Ej_1_Calendario de Actividades Academicas y Estudiantiles_0y12SOrH3u11QcFss8cJ_Full.md,dd6b5ccb13071c978e2ad922f66fced189ca026a9801fe60108cf34fc2bbd4f4,2025-12-08T20:18:40.863Z
Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej1,Ejercicio 1,ejercicio,1,"Lorem ipsum dolor sit amet, consectetuer adipiscin...",Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,exports/downloads/Todos los ramos/Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,1,Ej_1_Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej1.md,731e64a81f633a316c728a7c433d943ec50fa3857d8226370b507794370b69d5,2025-12-08T20:18:40.889Z
Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej3,Ejercicio 3,ejercicio,3,00-00-0000   AAA0000 – Ayudant´ ıa 00   P´ agina 1...,Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,exports/downloads/Todos los ramos/Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac.pdf,1,Ej_3_Plantilla Ayudantias_8rnZ5Ii1x29TaERxnNac_Ej3.md,a2f0fcb835d55de9a60fd6a6b5928fb36ea4e5d44101abe02872d5b55e5ddfad,2025-12-08T20:18:40.889Z
Plantilla Informes 1_q5x4qVrtLrs2SAeuWejk_Full,Documento Completo,material,1,--- Page 1 --- PONTIFICIA UNIVERSIDAD CATÓLICA DE ...,Plantilla Informes 1_q5x4qVrtLrs2SAeuWejk.pdf,exports/downloads/Todos los ramos/Plantilla Informes 1_q5x4qVrtLrs2SAeuWejk.pdf,1,Ej_1_Plantilla Informes 1_q5x4qVrtLrs2SAeuWejk_Full.md,6eef41b58cd4db69b7b08cf61e028beb149cf3fe8d2e95d7048d7fb8d8a7cba7,2025-12-08T20:18:40.920Z
Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx_Ej1,Ejercicio 1,ejercicio,1,TUTORIAL: Imágenes 1.1.   Imagen centrada  En esta...,Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx.pdf,exports/downloads/Todos los ramos/Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx.pdf,6,Ej_1_Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx_Ej1.md,17f56d207d95a82d09a14cafd3acb6b61745174464a40abcdef5538a53847277,2025-12-08T20:18:40.952Z
Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx_Ej2,Ejercicio 2,ejercicio,2,TUTORIAL: Tablas  Hacer tablas en L A T E Xes muy ...,Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx.pdf,exports/downloads/Todos los ramos/Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx.pdf,7,Ej_2_Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx_Ej2.md,2be181522d52e8e25a6686eb0cb915bb34f1223865a3bf1b6fe6c95991233b86,2025-12-08T20:18:40.953Z
Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx_Ej3,Ejercicio 3,ejercicio,3,TUTORIAL: Citación  Para citación extensa en forma...,Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx.pdf,exports/downloads/Todos los ramos/Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx.pdf,9,Ej_3_Plantilla Practica 1_Zu0GHuvPqedzv9XtyEQx_Ej3.md,cea48c26bd082587a0befbfa15bb22d538ff1c5ce44df9144d5954fb6e6bac84,2025-12-08T20:18:40.953Z
